,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.13687028200424378,0.10982045272755013,0.27456291055279947,0.31511872645765704,0.1137362410541168,0.09356209233192526,0.2532130612804201,0.34106008076522676
1.1.0,0.1370695453860663,0.11511134495382572,0.27481761437572194,0.31357002605220335,0.11967301649611017,0.09247418402545211,0.25343104107179404,0.3500414576943407
1.0.1,0.1850809492219608,0.11134099154921556,0.27403064720901393,0.3153138999394093,0.1146864274573294,0.0922883404161064,0.2533910062833775,0.3411513095316201
1.0.0,0.13540662788544552,0.1128860832241729,0.2737828759641816,0.31379119332095384,0.11573216883721921,0.09437868648999825,0.2535353868051924,0.340784174673776
0.1.1,0.13975669912515143,0.11524769271150574,0.27428547045482476,0.3134625318634469,0.11499659967689915,0.09144559848488396,0.2525189367489303,0.35259806119581105
0.1.0,0.13792077789481894,0.11594934202212603,0.2747030178162002,0.3156392911074939,0.11639020187672482,0.09461863426884254,0.2533750743093126,0.34102982827962575
0.0.1,0.19821095700589464,0.11527836651692265,0.2740104550970057,0.3219568286392553,0.12019825067377574,0.09432143689548884,0.25500392498498237,0.34055972761347647
0.0.0,0.13714298702217337,0.11568726699211568,0.2754509011851627,0.3207779359309765,0.11618163761544542,0.09458052143066756,0.2569967281100486,0.340637743916967
