,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.288642678068016,0.39416474412893965,0.2805967569158294,0.3280598769478462,0.2506278848166988,0.3909187898960066,0.23572803170070017,0.36730228961726147
1.1.0,0.2989162272198332,0.38934428357679307,0.32468344483549144,0.3274194764111291,0.2902042743360524,0.3879381920939987,0.2661495252386068,0.3578421583304882
1.0.1,0.2872035530628816,0.3875252693523319,0.28723498541592696,0.32687833203432937,0.24931137068230402,0.381583894435828,0.23310079208744114,0.34653970801829515
1.0.0,0.3123491816655025,0.38701574921433424,0.3082812790381405,0.32919644704238255,0.2657058363150013,0.38558553865010226,0.2521002661693702,0.35854576128920523
0.1.1,0.28875042432121256,0.38644987906067346,0.27789638388445714,0.3226176277695777,0.24674616456590037,0.38219491521424365,0.2323533568412489,0.3470970121177412
0.1.0,0.2980836974800946,0.384114614961236,0.32041119885056335,0.32303200896583983,0.27528280872556,0.3793676130221516,0.2597631198977439,0.3543910717220661
0.0.1,0.2866173526092952,0.38512255114848204,0.2864140162478522,0.32702893067188166,0.24801356299477134,0.38016337954632573,0.2316151345093307,0.34660384049465565
0.0.0,0.2926622354223113,0.3843137691803443,0.29242527985532757,0.32719919784492835,0.25247281086101747,0.3800781048553771,0.2360127812926554,0.34647834940764155
