,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.3494337880135617,0.22001431974619262,0.3341586875884457,0.2796193185523616,0.24850477664839718,0.15680235695666372,0.2714174974549908,0.15036527796421845
1.1.0,0.3454669863148499,0.21874603520550748,0.32739820912816525,0.2759552080671728,0.2574477772264727,0.1589258933047324,0.2838051687352132,0.1504385718567317
1.0.1,0.35013215609313353,0.2186627907739246,0.333097722247896,0.2751553958090216,0.2463824672716619,0.1543213944803982,0.2684750915698475,0.14929939466438996
1.0.0,0.34417639026338986,0.21802382226346928,0.3389117677363287,0.2745604372205176,0.25791235079822183,0.15555299964951785,0.2836062745724156,0.1492906483489745
0.1.1,0.3468786294928527,0.21873354318249089,0.33096851504925384,0.277309246492923,0.24684592816923018,0.15612002608437367,0.2696623491924738,0.15036183894004979
0.1.0,0.3437262454426514,0.21736074126993943,0.33955693902152545,0.2756941593354645,0.2633624015123529,0.15616861535455723,0.2719713421413089,0.15014708094210288
0.0.1,0.3481249842234798,0.2172646835100671,0.3305323199781053,0.2744604520234014,0.2464344120039122,0.15330903222128311,0.265915983326542,0.14627854717769223
0.0.0,0.3527367409191761,0.21622819152705214,0.3365129786397428,0.2741396824990289,0.24734360224240032,0.15263809473639034,0.26879462078731076,0.14658857373494982
