,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.10968918775791522,-0.06826024015370645,0.22737366308116289,0.18375699470272194,-0.23457161498497292,-0.3769891518177046,-0.14739404336562048,-0.428967019117218
1.1.0,0.16059527940574075,-0.10140608948125844,0.11286219775997065,0.13066144062120685,0.013899690204622624,-0.40043252161707676,-0.059583536694418335,-0.46196445611414694
1.0.1,0.1016703756596011,-0.09423156779818961,0.06059770896218333,0.15188422158713674,-0.24202185014310745,-0.4272014705593097,-0.15567483486984068,-0.4477234183685074
1.0.0,0.1404570843129454,-0.10506891933274962,0.23955685012858913,0.12641722760018853,0.018083328661392742,-0.43766486560207474,0.09678204372761455,-0.4726436220315791
0.1.1,0.10746642794880744,-0.08962115745354926,0.24636538684061093,0.14877676140420346,-0.23726517255748902,-0.38869031593912473,-0.15361780450872375,-0.4347801045094757
0.1.0,0.1754085777496327,-0.11223572389921393,0.23474724674407796,0.12558098098536571,0.08543937869182369,-0.42161276462747166,0.11645324509059693,-0.4661017966294889
0.0.1,0.10136258267236078,-0.10520523853130534,0.06218611476659599,0.12967004003352695,-0.2429250054039127,-0.4367692378508867,-0.1693274962364688,-0.475903963258392
0.0.0,0.37778282947890784,-0.1158632633794926,0.33085223686613124,0.12200289400051337,0.02802029803685493,-0.45330326052077796,0.10705927265591718,-0.4948522644836805
