,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.13442899692587085,0.11494076186936845,0.2827522783022448,0.3268843783320455,0.11145739316281528,0.09236824968386184,0.2545999257796741,0.34582854177526523
1.1.0,0.13962654929368662,0.11570385845231697,0.27961765121337573,0.3213455558477303,0.11619873499134513,0.09220448881826676,0.26414633338215077,0.34573933561300635
1.0.1,0.16078991501180584,0.11304895424407355,0.2749180604867568,0.3152295394566419,0.11268230620157431,0.09378328368978439,0.2535514414250523,0.343307136163461
1.0.0,0.13657239739052868,0.11314420467546907,0.2874690334511597,0.31360386828992026,0.11502203033602185,0.09379913684089916,0.26545121185276443,0.3430152095709992
0.1.1,0.13403472051571372,0.11381363237124084,0.2818030950135392,0.3316728997129831,0.11101136339062018,0.09060512700968765,0.2540764976317331,0.35033758225547595
0.1.0,0.1624813381439374,0.11384720739103507,0.27518150046896894,0.32187081232078174,0.1137653871264716,0.09037617517835339,0.26209222018288564,0.351386395164049
0.0.1,0.18872504601798495,0.11497568360838459,0.2749764675178073,0.3168933290352643,0.11654502832972502,0.09472942093816192,0.25385078163958297,0.3407265838470991
0.0.0,0.1371430373724815,0.11568725658554355,0.27535144697948366,0.3192181004205522,0.11618158869142542,0.09458052138525966,0.2535273185881968,0.3418622274978782
