,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.1993569278626413,0.11920620634022877,0.21218718608138087,0.14935989558034546,0.22830348540780837,0.12213614364209013,0.19197041616182142,0.16099609434100234
1.1.0,0.19931499714658082,0.11969843331783558,0.2130979047703746,0.14908759367831723,0.22768641569468687,0.12229621585685141,0.2432263492250255,0.16126692544084953
1.0.1,0.20457884349045263,0.12113668531567665,0.21005762498137553,0.1477398005956969,0.23516673646904632,0.12334250239828255,0.1882783623451681,0.15927933842489017
1.0.0,0.20848474917554502,0.12090397545875456,0.26090960304908273,0.1483531056927283,0.25621067226046845,0.12301276515887594,0.1900078389786552,0.15960749084674278
0.1.1,0.19570207417027885,0.11834566209219224,0.21117960431627264,0.14935281996175795,0.22761193919637124,0.12253122986289355,0.1920670314004323,0.16054606418463702
0.1.0,0.20151618486118691,0.11847831217962917,0.21299865286334352,0.14919557286308233,0.23266771475075676,0.12286544595714446,0.19202878683457592,0.16085754618876166
0.0.1,0.20588708872529876,0.12189695517949498,0.2086204646675609,0.14779242374826926,0.23434565228905346,0.12275141192438296,0.18641224251294503,0.1566832643326463
0.0.0,0.2096692184863308,0.12028482209286862,0.2210881615093743,0.14733963403741918,0.23826299258238007,0.12241681355788356,0.1864808544165956,0.156035376338894
