,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,-0.8329783352778688,-0.7960604730413644,-0.18998565928010935,0.2675913061801102,-1.0065003096498555,-0.9484311999615811,-0.27450415736818157,0.3576697308994029
1.1.0,-0.5756312962612766,-0.7531454851744966,0.13290019945003312,0.26204162734591335,-0.7148042667315637,-0.9673363966034412,0.05057960543910025,0.3715610389998235
1.0.1,-0.8309327392587113,-0.7855171929005473,-0.17344925663519223,0.28260939990835043,-0.9891569661363149,-0.9620659465319439,-0.2853506785817146,0.35675749534523926
1.0.0,-0.5875759487061979,-0.7706303892985815,0.12781617323820946,0.2627585361120509,-0.757183308319344,-0.940221718758943,0.05132762736010917,0.3451752778842011
0.1.1,-0.8242520213961051,-0.7624190640675579,-0.19442752214364997,0.2715928031265488,-1.040848516818264,-0.9795924460693689,-0.27428322557334783,0.49736314461125725
0.1.0,-0.5736427646664095,-0.744773562035189,0.12886864079756138,0.2673630403682705,-0.733998899123592,-0.9453721092275895,0.05077412712725186,0.34599715813153353
0.0.1,-0.8540423037485793,-0.7504454440685071,-0.20659021267581687,0.3804938552329912,-1.0303245001789407,-0.9393700400731761,-0.26483843163335263,0.3540927071193638
0.0.0,-0.5742943790577549,-0.7465223253435511,0.13230356244762198,0.30826632019227235,-0.7356238231291116,-0.9454723752064156,0.06191534945023149,0.344684956043922
