,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.13441212892107124,0.11537947884851608,0.27773532748601204,0.3271379307286217,0.1114071490986773,0.09237961924744739,0.2545995820864584,0.3458257429279384
1.1.0,0.1396223609834149,0.11565731776028207,0.2749183801433201,0.32239049989560464,0.11620566051639275,0.0922318510209221,0.26021160619404565,0.3457392043418759
1.0.1,0.160830437614417,0.11304838205167989,0.2747991303620796,0.31521460169488447,0.11268178679533156,0.09379273767804984,0.25355141429863504,0.34330479649295875
1.0.0,0.13657238698340696,0.11314416128944335,0.28331409721214984,0.31359776539142414,0.11502203847908372,0.0937985818212201,0.2628678911982365,0.3430135323137225
0.1.1,0.13403466778013168,0.11381399543456175,0.2814211317636396,0.3283022562636378,0.11101077933041534,0.09060513130321052,0.25407645705395804,0.344591287077192
0.1.0,0.1370233531378016,0.11384739053239053,0.27595833097964284,0.32331075827959843,0.11376532555362417,0.09037621275170421,0.26419666934655756,0.3445518640857723
0.0.1,0.21389904210015565,0.11497579984475514,0.2748084239595965,0.31476594861099877,0.12355467738806289,0.09472887533065587,0.2538508047629418,0.34072104302762063
0.0.0,0.13714303737248154,0.11568725658554427,0.27535228671898904,0.3207779359309765,0.11618158869142561,0.09458052138525912,0.2535272901409754,0.34063775583116307
