,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,-0.8832255928047958,0.28985054879955047,-0.9140190677534239,0.3320857195970635,-0.9305443668180167,0.3437835196500487,-1.0746020027431085,0.28985092656677724
1.1.0,-0.3854056390343749,0.28816804174130023,-0.45591861673277245,0.3317851372027021,-0.4298238296555398,0.3444713826058291,-0.5201428950206377,0.2891285769928873
1.0.1,-0.9261704237861793,0.2947851518912686,-0.9434094841629539,0.33761402112348327,-0.9535137994799106,0.3481316731180147,-1.0766053400680653,0.2875913450281582
1.0.0,-0.6558006930903424,0.29090945765009685,-0.6854059462716846,0.36498360095171944,-0.42812216413587545,0.3458252052659019,-0.5244582783252509,0.2874188081538882
0.1.1,-0.928729528032574,0.29769918742677126,-0.9500437837046457,0.3425610888743609,-0.9534999470690846,0.35040197464429895,-1.0524806539849674,0.288231029123767
0.1.0,-0.3806100312316737,0.2951322320861286,-0.3688330175566026,0.3421230439349969,-0.4326429986701423,0.34962651766241926,-0.5133477557603239,0.2885131218017553
0.0.1,-0.9468052668685855,0.28941844713473697,-0.958105903352887,0.3376301000958456,-1.0026648058429781,0.34389351448903593,-1.103180267905027,0.28771401501895405
0.0.0,-0.4378380958523274,0.29070473751199827,-0.4469316264514447,0.3329609314362348,-0.4532639513212413,0.3433966838428473,-0.5141153314328717,0.28627505925470886
