,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,-0.4277107992844964,-0.6772950085355868,-0.3888530734539113,-0.4314395801208234,-0.2970286859938964,-0.6458670681465581,-0.5184840688677329,-0.36065285048992
1.1.0,-0.21350140080167881,-0.6849281286609941,-0.10347007400510319,-0.45413693816091033,-0.0013937794296444012,-0.6588961219044436,-0.10016049137338634,-0.3832475644511496
1.0.1,-0.42178082568702635,-0.6573107647519763,-0.4122944180187693,-0.44678178142529484,-0.2843556226831801,-0.6329749376556241,-0.5357812222311933,-0.3839200172004438
1.0.0,-0.08459004674624926,-0.6717256872979218,0.022006797317999576,-0.4690240888070656,0.13798331114073015,-0.6517177785574181,-0.2370287604461982,-0.4027665961491965
0.1.1,-0.448668370780663,-0.6869465570983344,-0.39161474147511116,-0.44064356124119364,-0.3051640148612405,-0.6424620939277906,-0.5202226253468457,-0.36879672072296266
0.1.0,-0.1723340038350712,-0.6997163936268742,-0.10633893004871882,-0.46073789068254295,-0.032665430275581504,-0.6540527543187574,-0.22041871935165433,-0.38946093345206434
0.0.1,-0.43021889827798665,-0.6566452062186201,-0.42270387439845925,-0.4619544310618844,-0.2913304058740659,-0.6492152576806633,-0.5634177354875709,-0.4122004124661367
0.0.0,-0.1354248706675353,-0.6845842347440061,-0.08189781783366437,-0.4836067218204342,-0.011283408448593543,-0.6671046829320739,-0.2569544564660969,-0.4315252495317318
