,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,-0.9103896973472857,-0.7406537136547188,0.7621645819712202,0.5329414003331797,-1.095280357699382,-0.9287903022822352,-0.29145438836327653,0.38546509550355934
1.1.0,-0.5733506488808968,-0.7488858821800864,0.29425255251559895,0.29898773659674116,-0.7444947874319414,-0.9606338351733159,0.1614317907291263,0.360427128954313
1.0.1,-0.8905738444189615,-0.7661995176030946,-0.21175702101467314,0.2866456488602698,-1.0920528980095927,-0.9408360715630002,-0.3028862299789939,0.3759904314047575
1.0.0,-0.6012344823010669,-0.7737994496237794,0.5389446443951375,0.2617790154921679,-0.7645148054949458,-0.9533371744639516,0.3466426916481083,0.3528008930146727
0.1.1,-0.9353460823319175,-0.7600121843887895,0.6806539531684694,0.5523668714588873,-1.1156989005796074,-0.9642043026302536,-0.29465538816887016,0.39299588011222897
0.1.0,-0.6231729703798541,-0.7644833870582333,-0.09932215134913094,0.2984986505571432,-0.7637682306340094,-0.9863392849318406,-0.08339428326434929,0.3748499311330079
0.0.1,-0.869742790247028,-0.7515551452436581,-0.21115986087977692,0.29005361100318705,-1.073929054311228,-0.9398408402155778,-0.3038144779027758,0.36149939284766447
0.0.0,-0.5742940418114098,-0.7465223578868746,0.1344505989987257,0.29192322601390397,-0.7356238301349411,-0.9454723752641363,0.05124167827873489,0.34824967960559017
