,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.15320983083184275,0.3133576025648187,0.15019481203535082,0.32681629383620225,0.14509910094968043,0.330024384891787,0.13249417934604615,0.3124452732724558
1.1.0,0.16254121911809677,0.3140492408029948,0.1737325231894748,0.3265321008569574,0.15309644700122488,0.33048940859100717,0.1406921989762935,0.31260461404220763
1.0.1,0.1519976393137337,0.31362578868186153,0.14855851942565787,0.3259776508155863,0.14769707894907264,0.3303718340444036,0.1314672379646521,0.311618304065882
1.0.0,0.173189101016408,0.3139875840877652,0.17092174540561966,0.3406187554490827,0.15331872491712778,0.3304753362668951,0.13999409248395508,0.31189080337124825
0.1.1,0.15730015405783204,0.31548858544261776,0.1557040826104762,0.3281636668788286,0.1464359657888009,0.3326111335042281,0.13526303703339787,0.3122269670294486
0.1.0,0.16260752022754002,0.3162925964524417,0.16369445663195498,0.32980014930090235,0.153103544813779,0.3326275138137801,0.14107960070323586,0.3123743818980502
0.0.1,0.15112348716374355,0.3126610796772753,0.147774033374393,0.3271255453203375,0.14364463597409177,0.3291055401057453,0.132669665758706,0.31118468171870867
0.0.0,0.15497567878098278,0.31451706002574564,0.153382183088407,0.3273544526189013,0.1510525646680907,0.33046893139349864,0.14109808602275775,0.31142103746432037
