,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,-0.3910686782443362,-0.6774213030333631,-0.26301434573601995,-0.4716763233141018,-0.28743197318109887,-0.6770662146572817,-0.5078958252247058,-0.4366984377428372
1.1.0,-0.1431358183984372,-0.6593693890902814,-0.10486795117450119,-0.44387562231344363,0.007252964574725471,-0.6733463073283545,-0.2518532379180684,-0.44713634216347675
1.0.1,-0.4539497742858227,-0.6969549113993772,-0.3227432181309233,-0.4710843037604111,-0.2753534133150254,-0.6838941684554596,-0.5416927014828941,-0.43035422422668307
1.0.0,-0.13365253755746634,-0.6738359204728726,-0.08168061620196504,-0.4668032075260182,-0.012563716327237018,-0.6568801389987278,-0.238039369877155,-0.4255299964856726
0.1.1,-0.441031993626266,-0.6909075382974461,-0.40023518532376123,-0.42968197356197585,-0.29715903137398436,-0.6544927864604817,-0.5292051510484757,-0.3991814009696426
0.1.0,-0.13825739818095317,-0.6977589610674937,-0.08340878149132022,-0.48569507374904275,-0.011741309773547873,-0.6676767527315308,-0.25827250320003003,-0.4292282197414601
0.0.1,-0.42503626391592736,-0.6843825638222434,-0.3937973869855813,-0.47395750485629784,-0.27897126177595377,-0.6365931462548216,-0.4917532177159297,-0.46634775773742676
0.0.0,-0.13540946903954462,-0.6845656267723315,-0.08193247147413697,-0.4836169939588675,-0.01125009260385532,-0.6671040023629173,-0.2569502224058031,-0.43146165860033936
