,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.1500000942531149,0.3151690158827237,0.15034753955548896,0.33161074468261187,0.1473958950474563,0.33384470160918545,0.14277352077121988,0.31645848030980583
1.1.0,0.1560603217445549,0.31320719810561215,0.16817309352161292,0.3275896470623273,0.15068427276811674,0.33089644225212134,0.1403631557910643,0.3158598614476699
1.0.1,0.14934614018339556,0.3144932555434075,0.14805503944190923,0.3265783528737475,0.14661958325629704,0.32627198236347493,0.14307431839153043,0.3148338864148988
1.0.0,0.1620743448524788,0.3139551134982881,0.18286951613253138,0.3279041995651235,0.1494965314339762,0.3283430252580484,0.1409981817216509,0.31165478288785253
0.1.1,0.15297182051472108,0.3291981560592373,0.14847566938576287,0.34537841626233806,0.1483369396065602,0.3336615053349512,0.14405612959872324,0.3120419173252683
0.1.0,0.15502700516835424,0.3146690600064229,0.15419365885015254,0.3280742791818425,0.15049063858495496,0.3289642810327097,0.14044907585252303,0.31146161417965856
0.0.1,0.1489561382064702,0.3130167976827575,0.14937949475088041,0.327251677021692,0.14435093107232033,0.32871490216546073,0.13442143153628666,0.3109468372430846
0.0.0,0.15509588210037323,0.3145179207955067,0.153380574894316,0.327354452618907,0.15105263722317513,0.33046893139351496,0.14109808409603664,0.3114210316956143
