,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,-0.9104762064488698,-0.7375517249624748,0.6182748431484822,0.5577260814082011,-1.0959445119608926,-0.9281164313366995,-0.29145364670563084,0.38544976463905045
1.1.0,-0.5733817605084743,-0.7493487495444963,-0.05045707404617976,0.30190476806206445,-0.7443763334432607,-0.9602241119133129,-0.10546707715600935,0.3604267017092214
1.0.1,-0.8905629917786777,-0.7662056059187747,-0.21309173902535244,0.2865201068799387,-1.0920578645870533,-0.9407526022805175,-0.30288646977460076,0.3759885028482194
1.0.0,-0.6012345244870821,-0.7737997785245456,0.12328416717509622,0.26176119764461325,-0.7645145458817513,-0.9533432388978229,0.06115855810637542,0.3527961972823529
0.1.1,-0.9353464489973231,-0.7600085548370411,0.39896938401425497,0.5527135544110584,-1.1157076761661897,-0.9642039643639638,-0.2946556095519878,0.3779408750241833
0.1.0,-0.5930381065030935,-0.7644807179767538,-0.1448968296295554,0.31038964894411786,-0.7637684881241353,-0.9863388796597464,-0.17013985332069909,0.35599917623315
0.0.1,-0.8781089408756316,-0.7515541448584644,-0.21298868398299559,0.28341336691932484,-1.0624062371963165,-0.9398538704839883,-0.3038134938988306,0.3614939670975128
0.0.0,-0.5742940418114103,-0.7465223578868678,0.13444863669949025,0.3082663201922722,-0.7356238301349369,-0.9454723752641458,0.05124156395144483,0.34468499910039585
