,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.2892011516889994,0.3893891772050763,0.28193895022558935,0.32679773891374453,0.2520887786175268,0.37948422725515324,0.2335398168811016,0.34582207228799533
1.1.0,0.28911042161541534,0.38476388437884007,0.292528953426918,0.3319730739801354,0.2524714513921773,0.3782953955295768,0.23650235565354494,0.35524633914009573
1.0.1,0.287007505477843,0.38387177169657183,0.2979613997773183,0.32620012959542205,0.250021763276709,0.3798587631523988,0.23264873259182622,0.3545243735878072
1.0.0,0.29262476358913087,0.3766519383785719,0.29258984467777227,0.3319140017631363,0.25229470592589426,0.3794416066879434,0.23578400992290746,0.3466983457188362
0.1.1,0.29214012240362697,0.3842418428927622,0.2820689243511435,0.3277253685415069,0.24931104477305172,0.3805074044207717,0.233953823145793,0.34653839355058524
0.1.0,0.2930795584720691,0.3870382102572382,0.2932468702614206,0.33136356137556566,0.25255398454875266,0.3762162443145842,0.23603751921256738,0.34614909132347876
0.0.1,0.28663208488603936,0.38417071703344774,0.2837545794408659,0.32789749645294497,0.24918112990013502,0.3800405068586092,0.23253530986206677,0.35581672126840713
0.0.0,0.2935400728119393,0.3844021603063622,0.29252615950801025,0.33102442971148366,0.25247208963575696,0.3797230083205011,0.23601359627111435,0.3475419241216213
