,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.26879510238715076,0.3527035193456254,0.24268024605481864,0.3528538124322283,0.27343638131587295,0.35081563025632634,0.2536091081925682,0.34432946997321445
1.1.0,0.29528339913149704,0.35177253651499146,0.26098312033088245,0.3530102809578829,0.3004702860245092,0.34867434517282314,0.2760113921490225,0.3442222279353704
1.0.1,0.264204719795163,0.34183789282469895,0.24053344686279549,0.3506480768587138,0.2685797812055494,0.3399845668948217,0.24850976223415627,0.34184957443761577
1.0.0,0.2942087201030772,0.34466756987180325,0.25926897249867814,0.3506418945712636,0.2991838027831024,0.3428399367521747,0.2734143664485459,0.34154687308835663
0.1.1,0.27520639279968895,0.352532118197028,0.2420603200725727,0.3577751962349698,0.2720875958501106,0.34909157782139694,0.2524660680071993,0.3431727273014084
0.1.0,0.28021135080429016,0.34048060270764213,0.24690657091367163,0.3587538040052447,0.28491531337972087,0.33867664063387304,0.2757716470774214,0.3431147781517905
0.0.1,0.2630405163529882,0.3404078559326216,0.23276216646238418,0.3471127522926586,0.26654138381267445,0.33882918802907736,0.24488958212301237,0.3394743885357384
0.0.0,0.2727966600936951,0.3425513810290447,0.24201724656149992,0.3471976015709912,0.27688888147052515,0.3406559951495566,0.25185819321687447,0.3393429321583743
