,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.15119219454890487,0.3165372583352717,0.14973305206552978,0.3294176148915094,0.1479853375110169,0.3333930762228099,0.14287298351848168,0.318083346210459
1.1.0,0.1695807999547894,0.3232882477181349,0.16899283084241978,0.3366277210434628,0.1665548997542417,0.33344860307877244,0.16340156873391065,0.31854965402118546
1.0.1,0.148887596499568,0.3146969481276864,0.1447614444679629,0.3269274614206614,0.14364712158990833,0.3317411940263142,0.14182232285032104,0.3168639820219311
1.0.0,0.17001185358506568,0.31464850976239445,0.1682176140849393,0.32789982168926746,0.1802612430616814,0.3309650805334683,0.17695086683770292,0.315271851481833
0.1.1,0.15070078994032393,0.3158944754973772,0.1501848998991437,0.32877004063879256,0.14767290912863776,0.3314156340858767,0.14247976911468063,0.31694742723160835
0.1.0,0.19889771207631704,0.31619044984471956,0.18518787307199475,0.32900310874008887,0.14873264481109683,0.331491011442063,0.14244945964018987,0.31718835894391495
0.0.1,0.14868781129381542,0.3133077064948966,0.14712074515298945,0.3263226277087486,0.14297528150612282,0.32950566151412175,0.13117601784341712,0.3122247530895604
0.0.0,0.15509604790667855,0.3145170508998598,0.15340433984150703,0.3273544526189013,0.15105233150606703,0.33046893139349864,0.14109806227064772,0.3114210430148606
