,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,-0.9726186217107801,0.2897894588392548,-0.9208587618601409,0.3938344965743382,-0.9746889676441733,0.471058369512257,-1.059574621452123,0.3030922700254084
1.1.0,-0.4330272899828975,0.28650220687141875,-0.5063822190657382,0.33502424488288274,-0.45753866408656774,0.3453075284056414,-0.517525639988069,0.29564588880421655
1.0.1,-0.9819652252950046,0.28922707137271,-0.9529907142215417,0.35520786253624587,-0.9706601931186855,0.3589761035227808,-1.0317585434765133,0.30935459303595386
1.0.0,-0.5946195438802522,0.28933655168070094,-0.550283956878987,0.33512468141575535,-0.46665773042232606,0.3277152980701983,-0.5127298547950745,0.2868849867213058
0.1.1,-0.9478927400733217,0.3573206526762238,-0.9771535973758434,0.39070040297471764,-0.9747829852261078,0.3498445267026006,-1.0361995519074059,0.28919994979248187
0.1.0,-0.43317083638164683,0.2910453467551283,-0.44333606413118276,0.3360550395595321,-0.46040907093860317,0.3400582726895669,-0.519726954728804,0.28605593627770876
0.0.1,-0.9846440795873723,0.3086641268837674,-0.9435027753321699,0.3251201649706721,-0.9775773277793341,0.3750858636100739,-1.072140239031863,0.2934926899731302
0.0.0,-0.4370465701015822,0.290706439813165,-0.44694847449067254,0.3329609314362276,-0.4532632653173857,0.3433966838428571,-0.5141152535689036,0.28627506022672927
