,1.1.1,1.1.0,1.0.1,1.0.0,0.1.1,0.1.0,0.0.1,0.0.0
1.1.1,0.2004503629013475,0.12066113411207144,0.21974266650504196,0.1493877849008352,0.22994542164354703,0.12132064703903134,0.18959313533153535,0.15519365056342743
1.1.0,0.2086232131284873,0.12268290847837299,0.2150355936419644,0.15224000397572385,0.24233360125193845,0.12190325340904204,0.18747074249130827,0.15396477941987513
1.0.1,0.20115869652113372,0.11646363224316586,0.21528398665204793,0.14718285824834426,0.23198686037017568,0.12048706008829374,0.18337417998035127,0.15643160278310397
1.0.0,0.20986663462222205,0.12123424330253457,0.22111320842661125,0.14909705703710108,0.23833240036258538,0.12311141375038977,0.1895077863578134,0.15683883068691157
0.1.1,0.19751841974692125,0.11932726160785796,0.2087627170756245,0.15149569232884952,0.22973912205840352,0.12119104178638647,0.18507593213818477,0.15898629722810095
0.1.0,0.2092929265441761,0.1191216239590856,0.22065839960477732,0.1471981050594248,0.23809053927476007,0.12236469588011356,0.18625669221823618,0.15630659275568537
0.0.1,0.2063735093002898,0.12022296517620457,0.2089005206583241,0.14699111564214695,0.23466668768039542,0.12248215735143947,0.18645659551575106,0.1516916854319714
0.0.0,0.20967141198475064,0.12028719077997874,0.22108170060235072,0.14733857680305057,0.23826993169820204,0.12241689646931461,0.18648222402823203,0.15604525796587676
